Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
-300,-300,-210,-180,-50,-50,-210,-220,-60,-70,-130,-120,-500,-1120,-70,-130,-150,-140,-680,-160,-160,-1840,-1870,-60,36,-60,-106,-83,-11,56,174,-207.5,-0.7,-0.1
10,30,50,40,-40,-10,110,110,100,160,110,40,30,-660,-1790,-130,210,200,740,200,-3340,-1860,0,-50,-121,-45,74,53,39,-38,-546,-0.6,0,1
-190,-190,-190,-220,-260,-270,-350,-410,-380,-430,-360,-360,-390,-590,-640,-2530,-3050,-3210,-3370,-3460,-70,-50,-80,-136,-83,-9,22,19,-2,0,-158.6,1.3,7.7,5.6
-130,-120,-100,-100,-100,-130,-60,-20,-50,20,40,-30,10,250,270,270,-40,-20,-30,-70,-100,-90,-186,-94,-50,-83,-130,-79,-53,-389.8,-0.6,0.3,-4.2,-3
-140,-160,-190,-230,-230,-180,-230,-190,-190,-220,-280,-190,-210,-270,-390,-480,-100,-90,-110,-160,-220,-220,99,260,627,502,353,285,-400.7,-77,-3.9,-2.3,-3.9,-3
-150,-130,-130,-80,-100,-110,-30,-20,-130,-140,-110,-160,-270,-240,-240,-100,-130,-230,-200,-280,-156,230,267,220,-210,-150,-49,-879.8,-127,-1.2,1.7,0.3,0.5,-1.4
-180,-190,-140,-120,-110,-120,-210,-340,-230,-200,-240,-240,-130,-220,-240,-190,-230,-210,-90,270,556,210,-90,-292,-348,-644,-975.3,-1.5,0.3,0.4,-1,0.5,0,5.6
-90,-100,-130,-130,-150,-190,-190,-160,-200,-240,-210,-180,-180,-240,-190,-190,-200,-60,80,120,-250,-230,-150,-605,-837.7,-440.1,0.9,2.7,0,-0.2,0.3,-1.2,0.8,312
-160,-140,-150,-160,-130,-120,-180,-150,-200,-150,-160,-110,-120,20,50,-130,280,180,130,-360,-1254.5,-1144.5,-1052.8,-416.2,0.6,0.2,-1.4,-0.9,4.9,3.6,1.3,1.4,212.9,90
-170,-190,-170,-220,-230,-200,-140,-190,-40,0,20,-20,-60,-80,30,180,-230,-572,-435,-279,0.4,0.1,-2.6,-1.8,-0.4,-0.9,-0.3,-1.7,-6.8,-4.7,-1.3,219.8,59,-37
-160,-150,-190,-160,-150,-180,-180,-80,-150,-180,-170,-230,-180,-170,-180,-180,-160,158,-115,211,-0.8,-1.7,0,-0.3,-0.3,-1.7,-0.8,0.7,0.7,-0.5,260.1,101,49,-58
-140,-150,-130,-130,-120,-100,-80,-90,-60,-50,-170,-160,-160,-140,-140,-110,-130,-43,93,-157,-0.2,0.2,0.7,0.3,-0.2,0.2,1.5,1,79.5,232.4,15,-81,-78,-62
-100,-90,-120,-100,-130,-140,-120,-120,-120,-220,-140,-90,-70,-50,-50,-40,0,-5,-139,-327,-0.5,1.8,0.4,0.6,0.8,1.6,21.9,135.7,50.2,-108.4,-175.8,-137.6,-130.3,-112.9
-100,-100,-70,-80,-80,-80,-80,-110,-170,-100,-110,-90,-110,-100,-120,-160,-140,-87,-136,-62,0.8,0.1,-0.3,-0.9,0.6,9.5,45.5,-44.6,-18.9,2.5,4.6,-9.3,-20.1,-19.9
-80,-90,-120,-120,-120,-100,-130,-120,-100,-100,-90,-100,-80,-120,-130,-89,-89,-144,-133,-27,0.8,-1.2,-0.2,2.4,0.2,-0.2,12.9,-25.3,-27.3,-28.2,-9.6,2.6,11.2,15.8
-140,-150,-140,-140,-150,-140,-150,-140,-130,-140,-120,-140,-140,-150,-89,-81,-68,-51,-50,-70,0.6,0.4,0.1,-1.1,-0.8,0.4,-4.5,-2.7,-9.1,-14,-10.3,-15.2,-6.4,1
