Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
20,0,20,-10,-20,-80,70,20,10,-50,-20,-50,-20,10,-110,-10,0,740,0,-400,400,0,-190,-1950,-700,-80,-90,-300,-430,-328,-400,-587.8,1.1,-1.2
40,-30,-20,10,-60,20,-20,30,60,-10,0,10,-60,-50,-90,-20,-90,810,0,0,0,0,0,-2120,-680,-310,-210,-210,-210,-160,-477,-680,0.4,0.7
-20,-40,30,10,10,-60,50,-20,20,0,-10,10,-40,-60,20,-40,-100,580,120,0,0,0,0,-2150,-700,-160,-250,-170,-140,-140,-497,-848.9,-0.8,0.4
20,0,-40,50,-40,20,30,-10,20,-40,-10,-30,50,0,-90,-80,-100,660,120,0,-1060,1060,0,-2090,-720,-200,-40,-310,-170,-340,-487,-697.8,-1.1,-1.8
-20,0,-20,30,-10,10,10,-50,-20,-20,10,-20,0,-10,-30,-80,-90,710,100,0,-630,630,0,-2100,-700,-170,-130,-290,-290,-270,-486,-619.4,-0.4,-0.1
-20,0,-30,-20,10,30,-20,-10,-40,10,0,40,10,-30,-40,-100,70,640,0,0,0,0,-290,-2230,-390,-190,-200,-80,-310,-331,-522,-513.7,0.4,-1.8
-20,30,0,-20,0,-40,20,-120,40,50,0,10,20,30,-30,-110,210,440,0,0,0,0,-570,-2200,-230,-250,-270,-200,-60,-170,-396,-709.7,-0.6,0.7
-20,40,20,-40,0,-20,10,20,-10,20,0,-30,-10,0,-60,-60,590,120,0,0,0,0,-1220,-1580,-310,-270,-170,-230,-30,-263,-254,-729.1,-1.1,0.5
30,10,-20,0,0,0,-110,10,70,10,-40,-30,70,-110,-30,140,600,0,0,0,0,0,-2200,-590,-190,-350,-230,-240,-70,160,-440,-905.7,-0.8,-0.5
20,0,10,-50,40,-10,-30,50,-20,-10,60,-10,-50,-100,-60,700,90,0,0,0,0,-630,-1830,-250,-280,-330,-280,-150,-230,-43,-437,-596.2,2.8,-4.1
-30,10,0,-10,10,80,70,-100,20,30,20,-20,-130,-140,460,360,0,0,0,0,0,-1710,-710,-300,-270,-340,-230,-220,-170,-30,70,-1146.4,-0.7,-0.6
0,-50,20,20,20,30,-10,10,-10,-50,-30,10,-10,250,400,0,0,0,0,0,-330,-1850,-210,-310,-290,-200,-290,-180,-150,210,-330,-1125.9,-0.6,0.6
30,0,30,10,10,-20,-10,-90,50,0,0,-20,440,190,0,0,0,0,0,0,-1630,-530,-250,-230,-160,-330,-310,-200,-290,70,-140,-1056.5,0.7,-1.9
-20,40,10,30,-10,-20,0,0,10,-40,60,520,0,0,0,0,0,0,0,-780,-1180,-270,-250,-260,-110,-140,-270,-420,-260,130,-160,-1086.2,-0.4,0.9
0,0,40,70,-50,0,-10,0,290,260,0,0,0,0,-820,820,0,0,-540,-1190,-270,-280,-220,-280,-200,-240,-260,-230,-190,370,-360,-1166.2,-0.8,1.5
-40,30,20,60,-10,450,0,0,0,0,0,0,0,0,0,0,0,-380,-1250,-170,-170,-370,-190,-180,-230,-210,-250,-250,-290,210,-270,-1054.1,-2,-0.9
10,20,40,30,30,400,0,0,0,0,0,0,-720,720,0,-500,-210,-740,-150,-250,-310,-230,-180,-220,-250,-210,-190,-300,-220,150,-80,-1167,0.9,-0.2
20,20,40,0,-50,500,0,0,0,0,0,0,-720,0,720,-830,-510,-200,-20,-360,-310,-230,-120,-260,-260,-200,-190,-200,-190,20,-409,-787.2,-0.1,0.4
60,50,30,0,30,350,0,0,0,0,0,-40,40,-710,-150,-160,-210,-190,-370,-240,-250,-190,-170,-140,-250,-260,-190,-220,-70,-60,-308,-919.1,1.1,-1.6
