Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39
0,-70,-80,-20,0,10,-60,-150,70,0,100,-80,910,130,-10,0,-10,-10,0,-320,-2560,-80,160,-130,-10,-130,-140,-130,-5,29,-158,-29.258,-24.24,-29.4,-22,-22.66,29,63,80
-10,0,-30,-40,-60,-40,-120,60,-100,-90,-80,840,160,0,0,0,0,0,0,-1870,140,100,-230,-30,-140,-80,-80,20,13,-163,-6.7,-10.142,-8.96,-12.9,-16.5,-17.04,-46,-143,-88
-20,-100,-50,-60,10,30,170,130,-100,10,800,210,0,0,0,0,0,-240,-2260,-40,-20,-150,-70,-220,-150,-160,-120,-140,-74,11,-59.42,-7.2,-4.5,3.2,2,14.3,81,29,0
50,120,50,60,40,10,-10,-220,-130,800,100,0,0,10,10,0,10,-1460,170,-30,20,100,0,80,80,20,160,280,323,54,102.12,88,29,19.08,74,106,-15,-28,-8
-90,0,-20,-10,0,-10,-20,50,920,140,10,10,10,0,0,0,-1690,-210,-20,-100,-110,-170,-190,-160,-180,-70,-230,-200,-131,-23,-93,-116.1,-59.3,-43.08,-94.1,-139.1,-99,39,6
100,70,110,140,70,60,80,670,160,-10,-10,0,0,0,0,-1510,-100,-60,-140,-90,0,-30,0,-80,-30,-30,130,140,-68,-185,17.6,10.3,15,43.53,6.1,5.2,133,-115,-47
-40,-30,-80,-150,-60,-80,560,210,0,0,0,-10,-10,-610,-1330,-180,-40,-10,50,80,30,-30,0,70,-20,-10,-130,-252,-157,-3,-79.2,-9.1,-13,-42.73,-4.9,-5.4,-171,11,-23
-60,30,70,110,50,130,110,10,10,10,10,10,-520,-810,-300,-80,10,60,10,-10,20,30,-80,-90,-60,-80,40,12,63,503,38.23,-0.7,-2.5,0.1,-1.8,-0.8,143,-27,-27
-150,-140,-140,-210,-200,-100,0,0,0,-10,-10,0,-870,-130,-150,-110,-130,-240,-230,-200,-240,-90,-50,-60,-40,-10,-70,110,203,-276,-28.93,0.7,3.2,4.7,4.9,5.4,-213,-13,-17
-140,-30,-60,0,70,30,0,-840,0,10,10,-200,-120,0,230,160,-20,160,260,250,220,100,0,-110,30,-110,-20,200,190,256,-9.4,-1.4,-1.7,-4.2,-4.4,-5,7,-48,-18
20,-180,-50,-40,-50,-20,10,840,-750,0,0,10,30,-40,-200,-50,50,-60,-40,-50,-110,-60,-30,-10,-100,10,50,-190,20,-10,119.3,8.8,8.1,3.5,2,3.8,-84,-36,-91
-20,50,90,-150,-50,30,0,0,750,0,0,-80,10,40,90,-70,20,-20,-30,-50,50,110,50,20,-40,70,-120,-223,-429,-297,-96.9,29.33,6.2,6.4,7.4,18.4,6,-33,58
330,190,50,220,-30,-40,0,0,0,0,0,30,120,50,-60,130,40,150,150,190,120,-40,110,80,70,20,40,66,23,-31,9.9,-34.63,-13.3,-8.6,-8.3,-20,-16,26,-68
-40,90,100,170,260,90,0,0,0,0,-720,-100,90,70,160,-70,-110,-140,-160,-170,-140,20,-60,-10,-50,10,50,-3,-64,-124,71.6,42.448,14.2,16.4,21.4,95.5,182,227,178
